Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Título,Precio,Moneda,Descripción,Tipo de vendedor,HP,Tracción
Land Rover,Range Rover Sport,2025.0,autobiography phev,Negro,Híbrido/Nafta,5.0,AUTOMÁTICA,,,0.0,Land Rover Range Rover Sport AUTOBIOGRAPHY PHEV,315000.0,US$,"RANGE ROVER SPORT AUTOBIOGRAPHYVEHÍCULO HIBRIDO ENCHUFABLEAUTONÓMÍA ELÉCTRICA URBANA/INTERURBANA 100KM VELOCIDAD MAX 140KM/HPOTENCIA COMBINADA 460HP-----------------------------------------APPLE CARPLAY / ANDROID AUTO - WIRLESSASIENTOS ELÉCTRICOS VENTILADOS Y CALEFACIONADOSASIENTOS CON 22 TIPOS DE MASAJESAPERTURA Y ENCENDIDO POR PRESENCIAAVISO DE PUNTO CIEGOASISTENCIA EN LA PERMANENCIA DEL CARRILALERTA DE TRÁFICO CRUZADOASISTENTE DE PARTIDA EN PENDIENTEALL TERRAIN PROGRESS CONTROLBLACK PACKCARGA INALAMBRICA DE CELULARCÁMARA 360°CIERRE SOFT PUERTASCLIMATIZACIÓN DE 3 ZONASCRUCERO ADAPTATIVOCOLUMNA DE DIRECCIÓN ELÉCTRICADIFERENCIAL CON ACTIVACIÓN ELECTRÓNICAFAROS PREMIUM LEDLLANTAS 20""PANTALLA CENTRAL 11.4""PANTALLAS INFOENTRETENIMIENTO TRASERASRUEDA DE AUXILIO ORIGINALSUSPENSIÓN ELECTRÓNICA DE AIRESISTEMA DE SONIDO MERIDIANTECHO PANORÁMICO CON APERTURA ELÉCTRICATERRAINSE RESPONSE 2-----------------------------------------Ditecar S.A. Concesionario oficial Land Rover en ArgentinaCoordinar cita previaPROXIMAMENTE VIA VIVA - BELGRANO AV DEL LIBERTADOR Y LACROZESucursal Nuñez CabaAVDA. DEL LIBERTADOR 6356 - CABA.Estacionamiento exclusivo para clientes.Lunes a Viernes de 9hs a 18hs",concesionaria,460.0,
BMW,X1,2025.0,e xline,MINERALWEISS METALLIC,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,BMW X1 25 E XDRIVE XLINE,89900.0,US$,El vendedor no incluyó una descripción del producto,concesionaria,,4x4
BMW,X6,2017.0,m,Negro,Nafta,5.0,AUTOMÁTICA,,,37500.0,Bmw X6m 575cv,135000.0,US$,"BMW X6 M AÑO 201737.500KMServicios oficialesPPF Negro brillante completo colocado hace 6 meses(El color de la camioneta original, es Long Beach Blue Metallic) Solo ingresaron 2 al pais de dicho color.AUTOWORKS - TOMAMOS PERMUTAS",particular,575.0,
D.S.,DS7 Crossback,2022.0,ds crossback e-tense 300 bastile+,Gris,Híbrido/Nafta,5.0,AUTOMÁTICA,,Sí,30000.0,Ds 7 Crossback E-tense 4x4 300 Hp Bastille+,52500.0,US$,300 HPModo eléctrico autonomía 50 kmCargador domiciliario incluido5ta rueda de aleación No paga patentes CABAImpecable,particular,300.0,4x4
BMW,X4,2025.0,i m sport,Negro,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,BMW X4 30 I XDRIVE M SPORT,106900.0,US$,AUTO MUNICH,concesionaria,,4x4
D.S.,DS7 Crossback,2022.0,ds crossback e-tense 300 bastile+,Gris,Híbrido/Nafta,5.0,AUTOMÁTICA,,Sí,30000.0,Ds 7 Crossback E-tense 4x4 300 Hp Bastille+,52500.0,US$,300 HPModo eléctrico autonomía 50 kmCargador domiciliario incluido5ta rueda de aleación No paga patentes CABAImpecable,particular,300.0,4x4
BMW,X1,2025.0,i,Blanco,Nafta,5.0,AUTOMÁTICA,,,0.0,BMW X1 Xdrive 20 I,79900.0,US$,"Desde BMW AutoPremier tenemos para ofrecerte una BMW X1 Xdrive 20i 2025 en excelente estado.Por favor con el fin de brindarte una buena atención, te invitamos a coordinar una cita previamente y así asegurarnos que la unidad de tu interés esté lista y preparada en nuestro salón.Nuestros horarios de atención son de lunes a viernes de 9:00 a 19:00hs y sábados de 10:00 a 14:00hs.Antes cualquier duda o comentario quedamos a tu entera disposición",tienda,204.0,4x4
Volkswagen,Taos,2024.0,highline 250tsi,Plateado,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Volkswagen Taos Highline 250Tsi AT,44250000.0,$,* Concesionario Oficial Volkswagen casa central*AÑO 2025HASTA $16.000.000 EN CUOTAS FIJAS Y SIN INTERES !!!-CONTADO-CONTADO CON FINANCIACIÓN -CONTADO CON FINANCIACIÓN Y TOMA DE TU USADO AL MEJOR PRECIO ESPERO TU CONTACTO*PRECIO EXCLUSIVO COMPRA ONLINE*,concesionaria,,
Suzuki,Grand Vitara,2002.0,jlx td mazda diesel,Verde,Diésel,5.0,MANUAL,,No,255000.0,Suzuki Grand Vitara Jlx Td Mazda Diesel,8000000.0,$,El vendedor no incluyó una descripción del producto,concesionaria,,
BMW,X4,2018.0,20i,Azul,Nafta,4.0,AUTOMÁTICA,,,65000.0,Bmw X4 20i,50000.0,US$,BMW X4 20IAÑO 201865.000 KILOMETROSTITULAR AL DIA LISTA PARA TRANSFERIRTOMAMOS TU USADO CON LA MEJOR COTIZACION DEL MERCADOFINANCIAMOS CON BANCOS DE PRIMERA LINEA,concesionaria,,
D.S.,DS7,2025.0,etense,Negro,Híbrido/Nafta,5.0,AUTOMÁTICA,,Sí,0.0,D.S. DS7 ETENSE,86520000.0,$,"DS7 ETENSE HIBRIDO ELECTRICO ENCHUFABLE 4X4 300CVMotor hibrido recargable de 300cvTracción en las 4 ruedasAutonomía máxima 100% eléctrica (wltp) hasta 63km en ciclo urbanoDe 0 a 100km/h en 5,9 segundos  NATALIA HERNANDEZ11-5620-4741Panamericana km 46.800 Ramal PilarDS STORE PILAR",concesionaria,300.0,
BMW,X3,2018.0,30i,Gris,Nafta,5.0,AUTOMÁTICA,,,53000.0,BMW X3 30i XDRIVE AT,69900.0,US$,"Desde AutoPremium Usados Seleccionados tenemos para ofrecerte un BMW X3 30i X-drive AT año 2018 con 58.000 km.POSEE BLINDAJE RB3 EN STRONG DE DIETRICHPosee todos los servicios oficiales realizados. Cuenta con toda la documentación al día, listo para transferir.El precio publicado es en dolar informal TC venta.Características destacadas:- CAJA AUTOMATICA DE 8VA- LLANTAS DE ALEACION- FAROS DE LED- NAVEGADOR- SENSOR DE ESTACIONAMIENTO- CAMARA DE RETROCESO- TAPIZADO DE CUERO- TECHO ELECTRICO- CLIMATIZADOR AUTOMATICO- USB- BLUETOOTH",concesionaria,,4x4
Volkswagen,Nivus,2022.0,200 tsi comfortline l22,Gris,Nafta,5.0,AUTOMÁTICA,,Sí,73500.0,Volkswagen Nivus 200 TSI COMFORTLINE AT L22,30000000.0,$,¡Encontra tu próximo auto en Car Advice! Tenemos más de 200 vehículos disponibles.• Brindamos garantía de 3 meses para el motor y la caja de cambios.• Financiamos hasta el 50% del valor del vehículo.• Recibimos tu usado a la mejor cotización del mercado.Ofrecemos una experiencia de compra satisfactoria que nos distingue como una opción confiable en el mercado.Nuestros clientes nos avalan con calificación de 5 estrellas en Google.Podes visitarnos en cualquiera de nuestras tres sucursales en Ciudad de Córdoba:• Bv. Los Granaderos 3110• Av. Caraffa 2883• Octavio Pinto 3169Horario de atención:Lunes a viernes de 9:30 a 19hs.Sábados de 9:30 a 14hs.¡Te esperamos para elegir tu próximo auto!,concesionaria,,
Toyota,SW4,2018.0,tdi srx l16,Negro,Diésel,5.0,AUTOMÁTICA,,Sí,177000.0,Toyota Sw4 Tdi Srx At L16,43000.0,US$,¡Encontra tu próximo auto en Car Advice! Tenemos más de 200 vehículos disponibles.• Brindamos garantía de 3 meses para el motor y la caja de cambios.• Financiamos hasta el 50% del valor del vehículo.• Recibimos tu usado a la mejor cotización del mercado.Ofrecemos una experiencia de compra satisfactoria que nos distingue como una opción confiable en el mercado.Nuestros clientes nos avalan con calificación de 5 estrellas en Google.Podes visitarnos en cualquiera de nuestras tres sucursales en Ciudad de Córdoba:• Bv. Los Granaderos 3110• Av. Caraffa 2883• Octavio Pinto 3169Horario de atención:Lunes a viernes de 9:30 a 19hs.Sábados de 9:30 a 14hs.¡Te esperamos para elegir tu próximo auto!,concesionaria,,
BMW,X1,2025.0,18i okm 2025,Negro,Nafta,5.0,AUTOMÁTICA,,,0.0,Bmw X1 18i Okm 2025 - No Audi Q3 Ni Mercedes Gla,65000.0,US$,"BMW X1 18i XDRIVE Okm 2025Entrega inmediata - Versión fullLINEA NUEVA 2025 - AutomáticaLa más esperada del añoLa versión full agrega doble techo + asiento eléctrico + Llanta deportivaColores disponibles: Blanca / negra / grisPrecio Lista / Permuta u$s 69.900 dólaresPrecio Contado Efectivo u$s 65.000 dólares• TOMA DE USADOS:Deberá mandarnos por whatsapp :Fotos - Km - Año - Versión - Estado de neumáticosEl usado puede ser de cualquier marcaLa toma del usado se hace sobre el precio de listaDesde el botón WHATSAPP se contacta inmediatamente.•Respondermos su consulta por whatsapp en el momento •Concesionario oficial BMWMisael Ferrer+ Aceptamos Transferencia en Pesos o Dólares ++ Cuentas bancarias en todos los bancos +• Bell Motors - Concesionario oficial BMW •Compre tranquilo, compre en concesionario oficial• ATENCIÓN PERSONALIZADA• DOCUMENTACIÓN AL DÍA Y LISTA PARA PATENTARContamos con Administración y GestoríaEspecificaciones del vehículo:Motor 3 cilindros / 140 hpTransmisión Caja de cambios automática de 7 velocidades con tecnología de embrague doble y aplicación más deportivaTracción 4x2Tanque de gasolina 51 litrosRendimiento Combinado: 6.0 LEquipamiento exteriorDoble techo eléctrico panorámicoLlantas de aleación ligera de 18 pulgadasNeumáticos de emergenciaPaquete de espejos retrovisores exteriores plegablesAccionamiento automático del portón traseroCámara para marcha atrásPaquete de retrovisores interior y exterioresSensores de estacionamiento delanteros y traserosAcceso confort: no necesita llave para abrir y cerrar las puertasEl portón trasero se abre pasando el píe por debajo del paragolpes.Estaciona completamente sólo paralelo o perpendicular.Asistente de luz de carreteraEquipamiento interiorCargador inalámbrico para el celularVolante multifuncionalAlfombrillas de veloursRetrovisor interior, con ajuste automático anti-deslumbramientoReposabrazos delanteroAsientos deportivos para conductor eléctrico con memoriaPaquete de compartimentosClimatizador automático bi zonaPaquete de iluminación exterior e interiorVolante deportivo de cueroTapizado de cuero microperforadoComunicación y entretenimientoApple CarPlay y Android auto incluidos de fábricaAppsSeguridadTornillos antirrobo para las llantasDispositivo de alarmaIluminación y visibilidadFaros LED con contenido ampliado adaptativoAsistencia a la conducciónCaja de cambios Steptronic Sport con doble embragueControl de crucero con función de frenadoPantalla táctil curva de de 11 pulgadas",concesionaria,140.0,
Hyundai,Tucson,2025.0,premium,Blanco,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Hyundai Tucson 2WD AT Premium,48900.0,US$,"NEW TUCSON 2025 , concesionario y service oficial. reservá la tuya!",concesionaria,,4x2
Volkswagen,Nivus,2024.0,200 tsi comfortline,Negro,Nafta,5.0,AUTOMÁTICA,,Sí,9700.0,Volkswagen Nivus 200 TSI COMFORTLINE AT,31700000.0,$,Usados finamente seleccionados y 0km con financiaciones exclusivas.,concesionaria,,
Volkswagen,Tiguan Allspace,2024.0,350 tsi,Gris,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Volkswagen Tiguan,58500000.0,$,**Concesionario Oficial; 98 años en el rubro brindando seriedad y compromiso**El precio publicado no incluye flete y formularios; -Contamos con financiaciones en cuotas fijas.-Entrega inmediata de 4 a 5 días hábiles.-Stock Físico con mas de 60 unidades propias.-Atención y proceso 100% Digital o también presencial en nuestros 2 salones de ventas!-Tomamos tu usado en parte de pago.,concesionaria,,
BMW,X3,2021.0,x3m competition,Gris,Nafta,4.0,AUTOMÁTICA,,,13500.0,Bmw X3m Competition 510 Cv,198000.0,US$,"Excepciónal estado, muy pocas en el país. Versión Competition.510CvTodos los opcionales de carbono posibles en exterior e interior.Film PPF trompa completa. Pintura enteramente de fábrica sin detalles, llantas sin detalles.Se vende de contadoSe puede ver en Palermo o Puerto MaderoKirs Motors",concesionaria,510.0,
Volvo,XC60,2023.0,t8 ultimate dark plug in hybrid,Gris,Híbrido/Nafta,5.0,AUTOMÁTICA,,,0.0,Volvo Xc60 T8 Plugh In Hybrid - Híbrido Enchufable - 462hp,103900.0,US$,"VOLVO XC60 T8 PLUGH IN HYBRID - HÍBRIDO ENCHUFABLEPOTENCIA COMBINADA 462HPAUTONOMÍA 100% ELÉCTRICA 75KMCONSULTAR STOCK Y DISPONIBILIDAD------------------------------------------------------------ACCESO SIN LLAVEAIRBAGS 6 ANCLAJES ISOFIX EN ASIENTOS LATERALES TRASEROSANDROID AUTO / APPLE CARPLAYASIENTO DE CONDUCTOR ELÉCTRICO CON AJUSTE LUMBAR DE 4 VÍASASIENTO DE CONDUCTOR CON MEMORIAASIENTO DE PASAJERO ELÉCTRICO CON AJUSTE LUMBAR DE 4 VÍASASIENTO DE PASAJERO CON MEMORIAASIENTOS DELANTEROS CALEFACCIONADOSASIENTOS DELANTEROS CON EXTENSOR ELÉCTRICOAUXILIO KIT DE REPARACIÓN BAÚL CON APERTURA ELÉCTRICA Y GESTUALBLIND SPOT INFORMATION SYSTEM + CROSS TRAFFIC ALERTCÁMARA DE ESTACIONAMIENTO 360°CAPACIDAD DEL TANQUE DE COMBUSTIBLE (LTS) 71CARGADOR INALÁMBRICO DE CELULARCITY SAFETYCLIMATIZADOR BIZONA + CLEANZONE + PM2.5COLLISION MITIGATION SUPPORT DELANTERO Y TRASEROCONECTORES USB 2 TIPO CCONTROL DE VELOCIDAD CRUCERO ADAPTATIVODISEÑO INTERIOR METAL MESHESPEJOS EXTERIORES CALEFACCIONADOS Y REBATIBLES ELÉCTRICAMENTEESPEJOS RETROVISORES ANTIENCANDILAMIENTOFAROS DELANTEROS FULL LEDGOOGLE BUILT ININTELLIGENT DRIVER INFORMATION SYSTEMLATERALES DE VENTANA NEGRO BRILLANTE LANE KEEPING AIDLLANTAS DE ALEACIÓN 21"" (1187) | 255/40 R21MODOS DE MANEJONAVEGADOR GPS (GOOGLE MAPS)PANEL DE INSTRUMENTOS DIGITAL - 12,3""PANTALLA MULTIMEDIA - 9""PILOT ASSISTRIELES DE TECHO LONGITUDINALES INTEGRADOS NEGRO BRILLANTESEGURO ELECTRÓNICO PARA NIÑOSSELECTOR DE CAMBIOS CRISTALSENSORES DE ESTACIONAMIENTO 360°SISTEMA DE SONIDO HARMAN KARDON (600W)TAPIZADO CUERO NAPPA / RG0R00TECHO PANORÁMICO CORREDIZOTELA DE TECHO EN EL INTERIOR OSCURATYRE PRESSURE MONITORING SYSTEMVOLANTE CALEFACCIONADOVOLANTE DE CUERO MULTIFUNCIÓN SPORT------------------------------------------------------------Ditecar S.A. Concesionario oficial Volvo en ArgentinaCoordinar cita previaSucursal Vicente LópezAVDA. DEL LIBERTADOR 1513 - Vicente López.Estacionamiento exclusivo para clientes.Lunes a Viernes de 9hs a 18.30hsSábados de 10hs a 14hsSucursal Nuñez CabaAVDA. DEL LIBERTADOR 6356 - CABA.Estacionamiento exclusivo para clientes.Lunes a Viernes de 9hs a 18hs",concesionaria,462.0,
BMW,X6,2025.0,i m sport,Negro,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,BMW X6 40 I XDRIVE M SPORT,189900.0,US$,AUTO MUNICH,concesionaria,,4x4
Peugeot,3008,2022.0,gt pack hibrida am22,Blanco,Nafta,5.0,AUTOMÁTICA,,,42000.0,Peugeot 3008 Gt Pack Hibrida Am22,49000.0,US$,"ATENCION!! COORDINAR CITA PREVIA PARA VER ESTA UNIDAD!!!!El precio publicado es de contado y es a tipo de cambio blue del momento.FINANCIACIÓN disponible a través de crédito prendario.Peugeot 3008 GT Pack Hibrida AM22- Año 2021- 42000km.TOMAMOS UNO O MÁS USADOS EN PARTE DE PAGO.¿QUERES VENDER TU AUTO, PERO NECESITAS SEGUIR USANDOLO?¡PODEMOS TRABAJARLO DE ESA FORMA!TAMBIEN PODEMOS COMPRAR TU AUTO!Para más información contactanos.ESTACIONAMIENTO: Contamos con cocheras de cortesia enfrente.AUTOEMOCION",concesionaria,,
Volvo,XC60,2023.0,t8 plug in hybrid,Negro,Híbrido/Nafta,5.0,AUTOMÁTICA,,,0.0,Volvo Xc60 T8 462hp Plug In Hybrid,103900.0,US$,"VOLVO XC60 T8 PLUGH IN HYBRID - HÍBRIDO ENCHUFABLEPOTENCIA COMBINADA 462HPAUTONOMÍA 100% ELÉCTRICA 75KMCONSULTAR STOCK Y DISPONIBILIDAD------------------------------------------------------------ACCESO SIN LLAVEAIRBAGS 6 ANCLAJES ISOFIX EN ASIENTOS LATERALES TRASEROSANDROID AUTO / APPLE CARPLAYASIENTO DE CONDUCTOR ELÉCTRICO CON AJUSTE LUMBAR DE 4 VÍASASIENTO DE CONDUCTOR CON MEMORIAASIENTO DE PASAJERO ELÉCTRICO CON AJUSTE LUMBAR DE 4 VÍASASIENTO DE PASAJERO CON MEMORIAASIENTOS DELANTEROS CALEFACCIONADOSASIENTOS DELANTEROS CON EXTENSOR ELÉCTRICOAUXILIO KIT DE REPARACIÓN BAÚL CON APERTURA ELÉCTRICA Y GESTUALBLIND SPOT INFORMATION SYSTEM + CROSS TRAFFIC ALERTCÁMARA DE ESTACIONAMIENTO 360°CAPACIDAD DEL TANQUE DE COMBUSTIBLE (LTS) 71CARGADOR INALÁMBRICO DE CELULARCITY SAFETYCLIMATIZADOR BIZONA + CLEANZONE + PM2.5COLLISION MITIGATION SUPPORT DELANTERO Y TRASEROCONECTORES USB 2 TIPO CCONTROL DE VELOCIDAD CRUCERO ADAPTATIVODISEÑO INTERIOR METAL MESHESPEJOS EXTERIORES CALEFACCIONADOS Y REBATIBLES ELÉCTRICAMENTEESPEJOS RETROVISORES ANTIENCANDILAMIENTOFAROS DELANTEROS FULL LEDGOOGLE BUILT ININTELLIGENT DRIVER INFORMATION SYSTEMLATERALES DE VENTANA NEGRO BRILLANTE LANE KEEPING AIDLLANTAS DE ALEACIÓN 21"" (1187) | 255/40 R21MODOS DE MANEJONAVEGADOR GPS (GOOGLE MAPS)PANEL DE INSTRUMENTOS DIGITAL - 12,3""PANTALLA MULTIMEDIA - 9""PILOT ASSISTRIELES DE TECHO LONGITUDINALES INTEGRADOS NEGRO BRILLANTESEGURO ELECTRÓNICO PARA NIÑOSSELECTOR DE CAMBIOS CRISTALSENSORES DE ESTACIONAMIENTO 360°SISTEMA DE SONIDO HARMAN KARDON (600W)TAPIZADO CUERO NAPPA / RG0R00TECHO PANORÁMICO CORREDIZOTELA DE TECHO EN EL INTERIOR OSCURATYRE PRESSURE MONITORING SYSTEMVOLANTE CALEFACCIONADOVOLANTE DE CUERO MULTIFUNCIÓN SPORT------------------------------------------------------------Ditecar S.A. Concesionario oficial Volvo en ArgentinaCoordinar cita previaSucursal Vicente LópezAVDA. DEL LIBERTADOR 1513 - Vicente López.Estacionamiento exclusivo para clientes.Lunes a Viernes de 9hs a 18.30hsSábados de 10hs a 14hsSucursal Nuñez CabaAVDA. DEL LIBERTADOR 6356 - CABA.Estacionamiento exclusivo para clientes.Lunes a Viernes de 9hs a 18hs",concesionaria,462.0,
BMW,X5,2024.0,40m,Negro,Nafta,5.0,AUTOMÁTICA,,,0.0,Bmw X5 40i Xdrive 2025 / Bremen Motors Palermo,180000.0,US$,BMW X5 40I LINEA 2024ENTREGA INMEDIATACONSULTE COLORES DISPONIBLESBREMEN MOTORS PALERMOAV. DEL LIBERTADOR 2230CABA11 4805 2700,tienda,,4x4
BMW,X6,2017.0,m,Blanco,Nafta,5.0,,,,35000.0,Bmw X6 M 575 Cv,148000.0,US$,"BMW X6 M 575 CV 750 NM.Versión tope de gama M.- Servicios oficiales.- PPF trompa completa + tratamiento cerámico.- Sin detalles de ningún tipo, estado sobresaliente.- 4 cubiertas 0km recién colocadas.Máximo equipo:- Rodado 21"",- Audio Bang&Olufsen,- Cierre soft close,- Tapizado cuero merino,- Interior en fibra de carbono.La mejor realmente. Considero permutas menor valor de mi interés, únicamente vehículos.",particular,575.0,
Mini,Cooper Countryman,2024.0,countryman cooper s classic confort,Rojo,Nafta,5.0,AUTOMÁTICA,,Sí,0.0,Mini Countryman Cooper S Classic Confort Genco Mini,51900.0,US$,"Estimados Clientes:Consulte por finaciacionGarantia 3 años o 200.000 kmServicio SOS mientras el vehiculo conserve su garantia!Estamos ubicados en Rodriguez Peña 401 de Godoy Cruz, a la par del supermercado Makro.Concesionario oficial:BMW, MINI, BMW Motorrad, en Mendoza. Contamos con área de ventas de Usados.Contamos con servicio de PostVenta:- Talleres: con personal profesional altamente capacitado ofrecemos servicios mecánicos, como así también de estética automotriz, con personal altamente calificado, tecnología e insumos del más alto nivel para garantizar la calidad de nuestros servicios.- Sector de Repuestos y Accesorios: donde podrá conseguir todo lo necesario para su vehículo.Sin duda nuestra trayectoria nos respalda. No dude en contactarnos.",concesionaria,192.0,
